sample,adc,filtered,lead_off
1023,6053,-172.55,0
1024,4931,-168.63,0
1025,4161,-165.92,0
1026,4122,-168.58,0
1027,4822,-175.45,0
1028,5936,-180.49,0
1029,6837,-176.63,0
1030,7027,-160.29,0
1031,6416,-133.96,0
1032,5331,-105.70,0
1033,4402,-85.31,0
1034,4090,-79.13,0
1035,4542,-86.52,0
1036,5559,-100.41,0
1037,6595,-111.49,0
1038,7077,-113.02,0
1039,6759,-103.59,0
1040,5830,-86.99,0
1041,4811,-69.48,0
1042,4274,-55.77,0
1043,4495,-46.09,0
1044,5353,-36.22,0
1045,6425,-20.58,0
1046,7067,3.61,0
1047,6913,33.59,0
1048,6018,60.84,0
1049,4863,73.75,0
1050,4096,62.51,0
1051,4069,24.41,0
1052,4765,-33.67,0
1053,5836,-97.74,0
1054,6649,-153.09,0
1055,6715,-190.96,0
1056,5997,-212.42,0
1057,4839,-227.53,0
1058,3907,-249.99,0
1059,3655,-289.45,0
1060,4205,-345.70,0
1061,5276,-408.18,0
1062,6305,-461.11,0
1063,6712,-491.17,0
1064,6302,-493.55,0
1065,5285,-473.74,0
1066,4274,-444.28,0
1067,3796,-417.99,0
1068,4116,-401.38,0
1069,5083,-392.02,0
1070,6252,-381.04,0
1071,6950,-358.63,0
1072,6833,-319.42,0
1073,5998,-265.41,0
1074,4912,-205.18,0
1075,4190,-149.51,0
1076,4184,-106.03,0
1077,4865,-76.11,0
1078,5929,-56.15,0
1079,6736,-41.59,0
1080,6835,-30.56,0
1081,6173,-25.35,0
1082,5095,-31.07,0
1083,4239,-51.91,0
1084,4036,-86.93,0
1085,4589,-128.05,0
1086,5640,-162.20,0
1087,6595,-177.03,0
1088,6902,-167.00,0
1089,6381,-136.84,0
1090,5277,-100.81,0
1091,4219,-77.38,0
1092,3721,-81.33,0
1093,4060,-116.85,0
1094,5052,-175.43,0
1095,6236,-239.48,0
1096,6928,-289.38,0
1097,6793,-310.71,0
1098,5942,-299.04,0
1099,4851,-260.32,0
1100,4148,-206.80,0
1101,4199,-150.81,0
1102,4966,-99.88,0
1103,6074,-55.71,0
1104,6867,-16.72,0
1105,6882,17.82,0
1106,6109,44.70,0
1107,4939,56.41,0
1108,4042,44.58,0
1109,3867,5.67,0
1110,4482,-54.66,0
1111,5614,-121.77,0
1112,6653,-177.18,0
1113,7036,-205.71,0
1114,6545,-201.33,0
1115,5458,-169.25,0
1116,4409,-123.58,0
1117,3920,-80.92,0
1118,4232,-53.14,0
1119,5151,-43.61,0
1120,6200,-48.38,0
1121,6766,-60.84,0
1122,6524,-76.38,0
1123,5587,-94.81,0
1124,4512,-119.51,0
1125,3882,-153.55,0
1126,4033,-195.04,0
1127,4906,-235.11,0
1128,6083,-260.42,0
1129,6888,-258.93,0
1130,6916,-225.98,0
1131,6162,-167.61,0
1132,5076,-98.99,0
1133,4285,-37.93,0
1134,4184,3.56,0
1135,4868,24.72,0
1136,6023,35.48,0
1137,7001,50.47,0
1138,7257,81.09,0
1139,6657,129.15,0
1140,5481,184.97,0
1141,4354,231.08,0
1142,3803,249.72,0
1143,4094,230.31,0
1144,5037,173.27,0
1145,6111,88.82,0
1146,6698,-7.54,0
1147,6491,-100.66,0
1148,5614,-179.82,0
1149,4605,-239.81,0
1150,4023,-278.87,0
1151,4181,-295.43,0
1152,5032,-286.74,0
1153,6179,-250.56,0
1154,6949,-188.23,0
1155,6923,-107.12,0
1156,6100,-20.96,0
